Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
ANF,Abercrombie & Fitch Company,36.17,-0.02,-0.06%,36.55,35.08,1558702,3/16/21
ANGI,Homeservices Inc,16.62,-0.01,-0.06%,16.86,16.26,986556,3/16/21
ANGL,Fallen Angel HY Bond ETF Vaneck,31.65,-0.08,-0.25%,31.73,31.61,1445022,3/16/21
ANGO,Angiodynamics Inc,22.89,0.19,0.84%,22.93,22.13,206173,3/16/21
ANH,Anworth Mortgage Asset Corp,3.1,-0.09,-2.82%,3.18,3.07,1377049,3/16/21
ANIK,Anika Therapeutics,36.28,-1.32,-3.51%,37.5,35.97,62729,3/16/21
ANIP,ANI Pharma Inc,33,-0.01,-0.03%,33.25,32.14,41585,3/16/21
ANSS,Ansys Inc,330.78,5.07,1.56%,333.24,327.98,575114,3/16/21
ANTE,Airnet Technology Inc,3.95,-0.62,-13.57%,4.59,3.9,677498,3/16/21
ANTM,Anthem Inc,343.57,0.76,0.22%,344.27,338.45,1318986,3/16/21
AON,AON Plc,226.75,1.25,0.55%,228.1,224.88,2375564,3/16/21
AOS,Smith A.O. Corp,65.63,0.35,0.54%,65.74,64.77,833330,3/16/21
AOSL,Alpha and Omega Semi,36.36,0.09,0.25%,38.47,35.36,675586,3/16/21
AOUT,American Outdoor Brands Inc,22.54,0.62,2.83%,22.97,21.61,142869,3/16/21
AP,Ampco-Pittsburgh Corp,7.55,-0.45,-5.62%,8.17,7.5,61329,3/16/21
APA,Apa Corp,20.75,-0.78,-3.62%,21.43,20.7,7563618,3/16/21
APAM,Artisan Partners Asset Mgmt,51.57,0.67,1.32%,51.89,50.53,704114,3/16/21
APD,Air Products and Chemicals,274.51,1.55,0.57%,275.37,270.7,650190,3/16/21
APEI,American Public Eduducation,34.76,0.48,1.40%,35.99,33.73,184407,3/16/21
APEN,Apollo Endosurgery Inc,6.4,-0.06,-0.93%,6.69,6.01,247190,3/16/21
