Symbol,Name,Last,Industry,20D Avg Vol,Market Cap
FCX,Freeport-Mcmoran Inc,32.96,Mining - Non Ferrous,26320713,46102556000
FDS,Factset Research Systems Inc,325.62,Business Information,259718,12204552000
FDX,Fedex Corp,281.34,Transportation - Air Freight,2905037,71188608000
FE,Firstenergy Corp,34.27,Utility - Electric Power,4373269,18648572000
FERG,Ferguson Plc,121.82,Machinery - General Industrial,N/A,2.66E+11
FEYE,Fireeye Inc,19.67,Security,4553446,4690522000
FFIN,First Finl Bkshs Inc,48.68,Banks - Southwest,688330,6429136000
FFIV,F5 Networks Inc,210.44,Internet - Software,605024,12189020000
FHN,First Horizon Corp,17.25,Banks - Southwest,8354106,9008228000
FICO,Fair Isaac and Company Inc,492.91,IT Services,222561,13898502000
FINMY,Finmeccanica ADR,3.955,Aerospace - Defense,13363,4636764000
FIS,Fidelity National Information Services,146.42,Financial Transaction Services,3450295,89069904000
FISV,Fiserv Inc,123.61,Financial Transaction Services,3887228,82510952000
FITB,Fifth Third Bncp,38.44,Banks - Major Regional,8734026,25796640000
FIVE,Five Below Inc,199.96,Retail - Misc & Diversified,955058,10657594000
FIVN,Five9 Inc,156.81,Internet - Software,817589,10568276000
FIZZ,Natl Beverage Cp,49.19,Beverages - Soft,960800,4371152000
FJTSY,Fujitsu Ltd ADR,29.925,IT Services,44013,30219884000
FL,Footlocker Inc,57.57,Retail - Apparel & Shoes,1853588,5586805000
FLEX,Flextronics Intl Ltd,17.5,Electronics Products - Misc,4900300,8411048000
FLIR,Flir Systems Inc,55.63,Electronics - Military,1740540,7186593000
FLO,Flowers Foods,24.18,Food - Misc & Diversified,1164012,4968599000
FLS,Flowserve Corp,39.45,Machinery - General Industrial,2486256,4927039000
FLT,Fleetcor Technologies,278.46,Financial Transaction Services,595742,22844304000
FMC,FMC Corp,113.77,Chemical - Diversified,967667,14182531000
FMS,Fresenius Medical Care Corp,37.58,Medical Instruments,382218,21447162000
FMX,Fomento Economico Mexicano S.A.B. DE C.V.,74.74,Beverages - Soft,494062,26986784000
FND,Floor & Decor Holdings Inc,97.68,Building Products - Wood,770020,9731889000
FNF,Fidelity National Financial,40.98,Insurance - Proprty & Casualty,2718182,11308965000
FNLPF,Fresnillo Plc,12.5,Mining - Silver,9384,9295868000
FNV,Franco Nev Corp,123.4,Mining - Gold,1052012,23331002000
FOUR,Shift4 Payments Inc,85.61,Financial Transaction Services,1356620,6490961000
FOX,Fox Corp Cl B,36.17,Broadcast - Radio & TV,1746485,22411108000
FOXA,Fox Corp Cl A,37.8,Broadcast - Radio & TV,5915165,23692584000
FOXF,Fox Factory Cp,129.88,Auto - Domestic,285232,5113220000
FQVLF,First Quantum Minerals Ltd,19.215,Mining - Non Ferrous,82032,12991144000
FR,First Industrial Realty Trust,47.39,REIT - Equity Trust Other,1218914,5897230000
FRC,First Republic Bank,170.09,Banks - West,1031262,28491950000
FRFHF,Fairfax Finl Hld Sub,429.5,Insurance - Proprty & Casualty,8667,11477929000
FROG,Jfrog Ltd,45.29,Internet - Software,1207854,4223591000
FRPT,Freshpet Inc CS,153.47,Food - Misc & Diversified,361234,6229701000
FRRVY,Ferrovial Sa ADR,26.26,Engineering & R&D Services,12266,18872226000
FRT,Federal Realty Investment Trust,104.33,REIT - Equity Trust Retail,729012,7700127000
FSLR,First Solar Inc,85.69,Solar,2388110,8555190000
FSLY,Fastly Inc,66.16,Internet - Software,4776202,6727350000
FSNUY,Fresenius Se & CO Kg,11.1825,Medical - Outpatient & Hm Care,40095,24033132000
FSUGY,Fortescue Metal,31.135,Mining - Iron,60643,45353168000
FSV,Firstsrvce Sub VT Sh,149.79,Real Estate Operations,53054,6555011000
FTCH,Farfetch Ltd Cl A,50.94,Retail - Apparel & Shoes,10195871,19127340000
FTDR,Frontdoor Inc,54.81,Building & Construction - Misc,284576,4627271000
FTNT,Fortinet Inc,182.77,Security,1553385,27954618000
FTS,Fortis Inc,43.5,Utility - Electric Power,420833,20010428000
FTV,Fortive Corp,71.26,Electronic Test Equipment,2247215,23414938000
FUJHY,Fuji Heavy Inds ADR,9.9,Auto - Foreign,56680,15006604000
FUJIY,Fujifilm Hlds Corp,60.49,Semi-Eqpt PhotoMask,13305,24387288000
FUPBY,Fuchs Petrolub Se,12.01,Oil - International Integrated,21897,6633080000
FUTU,Futu Holdings Ltd,114.69,Technology Services,12544641,14321762000
FVRR,Fiverr International Ltd,201.88,Internet Commerce,1108757,6288266000
FWONA,Liberty Media F1 Series A,37.83,Media Conglomerates,179087,8830061000
FWONK,Liberty Media F1 Series K,43.16,Media Conglomerates,988604,10030894000
G,Genpact Ltd,44.64,Outsourcing,1082690,8161383000
GBCI,Glacier Bancorp Inc,60.15,Banks - West,533927,5406311000
GBOOY,Grupo Financiero ADR,27.93,Finance - Misc Services,24756,15449551000
GCTAY,Gamesa Corporacion,6.89,Other Alt Energy,111400,9257734000
GD,General Dynamics Corp,181.54,Aerospace - Defense,1219396,50502876000
GDDY,Godaddy Inc,77.14,Internet Services - Delivery,2020066,12692846000
GDRX,Goodrx Holdings Inc Cl A,38.03,Medical Services,3235702,13736419000
